StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q25,Q27,Q29,Q31,Q33,Q35,Q37,Q39,Q41,Q43,covid_screen_1,covid_screen_2,covid_screen_3,covid_screen_4,covid_screen_5,covid_screen_6,covid_screen_7,covid_screen_8,covid_screen_9,covid_screen_10,covid_screen_11,covid_screen_12,covid_screen_13,covid_screen_14,covid_screen_15,covid_screen_16,eat,alcohol,meds,gender,age,Q15,Q16,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
1/31/2020 13:51,1/31/2020 14:19,IP Address,139.184.128.132,100,1636,TRUE,1/31/2020 14:19,R_2EAVRr1aE3QKixl,,,,,50.86120605,-0.119400024,anonymous,EN,5009,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,4.6,2.3,3-4 times per week,1-2 times per week,1-2 times per week,2-3 times per month,No,,worse than a regular beer,,,If I am driving or am not in the mood to become tipsy. ,,
1/31/2020 14:33,1/31/2020 14:42,IP Address,139.184.128.82,100,542,TRUE,1/31/2020 14:42,R_3qlLulBIePAAEor,,,,,50.86120605,-0.119400024,anonymous,EN,5010,Yes,No,Yes,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,6.6,0.5,2-3 times per month,2-3 times per month,1-2 times per week,1-2 times per week,No,,about the same,,,For the taste as opposed to the effect of a beer,,
1/31/2020 14:51,2/4/2020 14:07,IP Address,139.184.128.132,100,342940,TRUE,2/4/2020 14:07,R_XS58xRv9DgJPh6N,,,,,50.86120605,-0.119400024,anonymous,EN,1011,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,2,1,1-2 times per week,2-3 times per month,2-3 times per month,1 time per month or less,Yes,better than regular beer,,1 time per month or less,NEVER,Just to try it,The taste of it without the alcohol altering it,Too fizzy for me
2/4/2020 14:05,2/4/2020 14:24,IP Address,139.184.128.82,100,1134,TRUE,2/4/2020 14:24,R_CkwMPMSF58CyNLX,,,,,50.86120605,-0.119400024,anonymous,EN,2012,Yes,No,No,Yes,No,No,No,No,2,Yes,,,,,,,,,,,,,,,,,,,,female,19,10,5,5-6 times per week,3-4 times per week,3-4 times per week,1-2 times per week,I don't remember,,worse than a regular beer,,,similar taste without the same effects ,,
2/4/2020 14:32,2/4/2020 14:37,IP Address,139.184.128.132,100,265,TRUE,2/4/2020 14:37,R_tRsgK7RbBAj8w37,,,,,50.86120605,-0.119400024,anonymous,EN,2013,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,4.6,4.6,3-4 times per week,2-3 times per month,2-3 times per month,1 time per month or less,No,,worse than a regular beer,,,i would drink it if i was driving but still wanted to enjoy a drink for example in summer when everyone is drinking i would want to be a part of it ,,
2/4/2020 14:58,2/4/2020 15:04,IP Address,139.184.128.82,100,356,TRUE,2/4/2020 15:04,R_De3cb9oOtvIwPzb,,,,,50.86120605,-0.119400024,anonymous,EN,2014,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,5.6,4.6,3-4 times per week,1-2 times per week,1 time per month or less,1-2 times per week,Yes,worse than regular beer,,NEVER,NEVER,To try it off a friend who was driving.,It lets the drinker blend into the social environment better.,It did not get me drunk
2/5/2020 14:21,2/5/2020 14:27,IP Address,139.184.128.82,100,388,TRUE,2/5/2020 14:27,R_31FyqD5NmW4RYOW,,,,,50.86120605,-0.119400024,anonymous,EN,6016,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,10,4.6,1-2 times per week,2-3 times per month,1-2 times per week,2-3 times per month,No,,about the same,,,If you like the taste but do not want to become intoxicated.,,
2/5/2020 14:48,2/5/2020 14:49,IP Address,139.184.143.199,100,51,TRUE,2/5/2020 14:49,R_3fefGtrN18ZRUqL,,,,,50.99729919,-0.105300903,anonymous,EN,6015,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,13,10,3-4 times per week,1-2 times per week,1 time per month or less,1 time per month or less,No,,about the same,,,To feel included at the pub but not get drunk,,
2/7/2020 13:52,2/7/2020 14:02,IP Address,139.184.128.132,100,626,TRUE,2/7/2020 14:02,R_24iPOCnmwznj2Qa,,,,,50.86120605,-0.119400024,anonymous,EN,5017,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,4.6,2.3,3-4 times per week,2-3 times per month,1-2 times per week,1-2 times per week,Yes,worse than regular beer,,1 time per month or less,NEVER,"I was driving but still wanted to be able to have a ""drink"" and not be left out. ",Safe to drive once you've had as many as you want,"the taste is not the same as regular beer, something different in it."
2/7/2020 13:53,2/7/2020 14:24,IP Address,139.184.128.82,100,1833,TRUE,2/7/2020 14:24,R_241MORHmCAngMKJ,,,,,50.86120605,-0.119400024,anonymous,EN,3018,Yes,No,No,Yes,No,No,No,No,2,Yes,,,,,,,,,,,,,,,,,,,,female,19,7,1,2-3 times per month,1 time per month or less,2-3 times per month,2-3 times per month,Yes,about the same,,NEVER,NEVER,I was not yet 18,It had a very strong and mature taste which I was not exposed to ,Tasted flat and watery
2/7/2020 14:35,2/7/2020 14:42,IP Address,139.184.128.132,100,403,TRUE,2/7/2020 14:42,R_1rIBvfffV3vao7W,,,,,50.86120605,-0.119400024,anonymous,EN,5019,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,,1,1,1-2 times per week,1 time per month or less,2-3 times per month,1 time per month or less,I don't remember,,I don't have any expectations,,,to drink something when I don't want to get tipsy,,
2/12/2020 13:50,2/12/2020 14:01,IP Address,139.184.128.82,100,627,TRUE,2/12/2020 14:01,R_QbLoPLTJZfVsyKR,,,,,50.84289551,-0.11579895,anonymous,EN,4020,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,10,6,1-2 times per week,2-3 times per month,1 time per month or less,1-2 times per week,Yes,about the same,,1 time per month or less,1 time per month or less,I like the taste of beer but did not want to feel the effects of alcohol.,It tasted almost exactly the same as alcoholic beer.,I didn't dislike anything about the beer.
2/12/2020 13:57,2/12/2020 14:09,IP Address,139.184.128.132,100,758,TRUE,2/12/2020 14:09,R_1mLcBZOuVTg4Vmu,,,,,50.83450317,-0.186004639,anonymous,EN,4021,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,21,15.8,13.8,3-4 times per week,1-2 times per week,2-3 times per month,2-3 times per month,No,,worse than a regular beer,,,"On nights where you shouldn't be drinking alcohol but still want to join in with your friends, such as, the day before an exam or when your'e meant to be driving ",,
2/12/2020 14:31,2/12/2020 14:42,IP Address,139.184.128.82,100,648,TRUE,2/12/2020 14:42,R_2ZCDo85VlCxksax,,,,,50.84289551,-0.11579895,anonymous,EN,5022,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,8,4.6,1-2 times per week,1-2 times per week,1 time per month or less,1-2 times per week,No,,about the same,,,"Rather than the taste of beer I prefer the social energy that comes with it. Therefore I wouldn't drink it just for the taste, but for the effect that it has. ",,
2/14/2020 13:51,2/14/2020 14:01,IP Address,139.184.128.132,100,609,TRUE,2/14/2020 14:01,R_XZZWC0GY3IvEEwx,,,,,50.86120605,-0.119400024,anonymous,EN,6024,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,15,10,3-4 times per week,1-2 times per week,3-4 times per week,NEVER,No,,about the same,,,"Although I have not tried it, I like the taste of regular beer and would therefore not mind having it non-alcoholic, if I'm in a situation where I have to drive for example",,
2/14/2020 14:06,2/14/2020 14:25,IP Address,139.184.128.82,100,1175,TRUE,2/14/2020 14:25,R_22uaf4KUAaa6ceZ,,,,,50.84289551,-0.11579895,anonymous,EN,2024,Yes,No,No,Yes,No,No,No,No,2,Yes,,,,,,,,,,,,,,,,,,,,female,20,6.9,2.3,2-3 times per month,2-3 times per month,1-2 times per week,1 time per month or less,Yes,about the same,,1 time per month or less,1 time per month or less,Just to try it and compare to normal beer.,The taste was almost identical to alcoholic beer.,Nothing.
2/14/2020 14:30,2/14/2020 14:57,IP Address,139.184.128.132,100,1600,TRUE,2/14/2020 14:57,R_3EMcg4E6LidhV5U,,,,,50.83450317,-0.186004639,anonymous,EN,1025,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,22,18,14,3-4 times per week,1-2 times per week,1 time per month or less,1-2 times per week,Yes,about the same,,2-3 times per month,2-3 times per month,"Because I was driving, or didn't fancy drinking on that occasion.","I like the taste of beer, so it meant I could still have a drink I liked without having alcohol.",It doesn't taste quite as good as normal beer - and there are often far fewer choices with non-alcoholic beer
2/19/2020 13:52,2/19/2020 14:03,IP Address,139.184.128.82,100,659,TRUE,2/19/2020 14:03,R_2CUmx4UK8yd2OcI,,,,,50.84289551,-0.11579895,anonymous,EN,1026,Yes,No,No,Yes,No,No,No,No,none,Yes,,,,,,,,,,,,,,,,,,,,female,20,16,7,5-6 times per week,3-4 times per week,3-4 times per week,2-3 times per month,No,,about the same,,,If i was driving ,,
2/19/2020 13:52,2/19/2020 14:26,IP Address,139.184.128.132,100,2024,TRUE,2/19/2020 14:26,R_25tqsFBFWXquQtt,,,,,50.83450317,-0.186004639,anonymous,EN,1027,Yes,No,No,Yes,No,No,No,No,1,Yes,,,,,,,,,,,,,,,,,,,,female,18,6.9,4.6,2-3 times per month,1-2 times per week,2-3 times per month,1 time per month or less,No,,about the same,,,i would drink it if i fancied a beer but didn't want to get drunk,,
2/21/2020 13:54,2/21/2020 14:05,IP Address,139.184.128.82,100,630,TRUE,2/21/2020 14:05,R_2ru5YBrVKR8m1N0,,,,,50.86120605,-0.119400024,anonymous,EN,1028,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,3,1,1-2 times per week,1 time per month or less,2-3 times per month,2-3 times per month,No,,about the same,,,Reduce negative effects of alcohol,,
2/21/2020 13:55,2/21/2020 14:20,IP Address,139.184.128.132,100,1538,TRUE,2/21/2020 14:20,R_0CnqhUsSpPeGoDL,,,,,50.83450317,-0.186004639,anonymous,EN,2029,Yes,No,No,Yes,No,No,No,No,3,Yes,,,,,,,,,,,,,,,,,,,,female,19,13,1.5,2-3 times per month,1 time per month or less,1-2 times per week,3-4 times per week,No,,about the same,,,when driving or needing a break from alcohol,,
2/21/2020 14:35,2/24/2020 14:38,IP Address,139.184.128.82,100,259331,TRUE,2/24/2020 14:38,R_3UiNn1pjAjMEUE1,,,,,50.84289551,-0.11579895,anonymous,EN,5030,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,21,18,6,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per week,No,,about the same,,,if i wasnt drinking alcohol but still wanted the taste of beer,,
2/26/2020 14:07,2/26/2020 14:18,IP Address,139.184.128.82,100,668,TRUE,2/26/2020 14:18,R_1IWS5tFl5iK2GpB,,,,,50.84289551,-0.11579895,anonymous,EN,4031,Yes,No,No,Yes,No,No,No,No,i don't smoke,Yes,,,,,,,,,,,,,,,,,,,,female,19,8,2.3,2-3 times per month,2-3 times per month,1-2 times per week,2-3 times per month,Yes,worse than regular beer,,NEVER,NEVER,I tried it because a friend of mine at a party didn't drink however was having an alcohol free beer to join in and he offered i try one.,its a great option for people who cant drink due to personal or religious reasons to feel as though they can participate in alcohol based social events ,It tasted like a weird watered down beer and wasn't as rich a flavour as regular beer
2/26/2020 14:21,2/26/2020 14:41,IP Address,139.184.128.132,100,1227,TRUE,2/26/2020 14:41,R_1GwBodOPSa3tqVL,,,,,50.86120605,-0.119400024,anonymous,EN,6032,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,20,12,10,1-2 times per week,1-2 times per week,1 time per month or less,1 time per month or less,Yes,about the same,,1 time per month or less,1 time per month or less,If im driving or don't feel like drinking alcohol,The taste is very similar to beer,N/a
2/28/2020 13:54,2/28/2020 14:04,IP Address,139.184.128.82,100,635,TRUE,2/28/2020 14:04,R_1jKemK1Eedgtofo,,,,,50.86120605,-0.119400024,anonymous,EN,3033,Yes,No,No,Yes,No,No,No,No,4,Yes,,,,,,,,,,,,,,,,,,,,female,19,12.2,4.6,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per week,No,,about the same,,,If I was driving or couldn't drink for some reason but still wanted to taste a beer ,,
2/28/2020 14:09,2/28/2020 14:19,IP Address,139.184.128.132,100,589,TRUE,2/28/2020 14:19,R_2zu4NEc2JCiz61I,,,,,50.83450317,-0.186004639,anonymous,EN,2034,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,21,4,4,1-2 times per week,1-2 times per week,1 time per month or less,2-3 times per month,Yes,about the same,,NEVER,1 time per month or less,I have bought it by accident on a small number of occasions thinking it was alcoholic beer. I would drink it at future events if I wished to not become intoxicated during a night of heavy drinking with friends,It has the same flavour profile as regular beers and the presentation being almost exactly the same makes it feel like you're drinking regular beer without the drawbacks of inebriation,"It doesn't have the same punch as a regular beer. You can drink a lot of non-alcoholic beer and feel underwhelmed by the experience, like it just doesn't hit the right spots that an alcoholic beer would"
2/28/2020 14:38,2/28/2020 14:49,IP Address,139.184.128.82,100,623,TRUE,2/28/2020 14:49,R_2CeUdF5lPtbSRy7,,,,,50.86120605,-0.119400024,anonymous,EN,3035,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,20,1,1,3-4 times per week,2-3 times per month,2-3 times per month,2-3 times per month,No,,about the same,,,I did not have the opportunity yet,,
2/28/2020 15:18,2/28/2020 15:27,IP Address,139.184.128.82,100,534,TRUE,2/28/2020 15:27,R_11j9DeRzoPhCuo4,,,,,50.84289551,-0.11579895,anonymous,EN,1111,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,26,7,5,1-2 times per week,1-2 times per week,2-3 times per month,1 time per month or less,Yes,worse than regular beer,,NEVER,NEVER,In a country where alcohol is illegal,Bitterness,How light it tasted
3/3/2020 13:52,3/3/2020 14:06,IP Address,139.184.128.82,100,854,TRUE,3/3/2020 14:06,R_3ISOrnFy5yGMrnt,,,,,50.84289551,-0.11579895,anonymous,EN,2036,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,10,3,1-2 times per week,2-3 times per month,3-4 times per week,1-2 times per week,No,,about the same,,,"If i fancied the taste but wanted to have a sober day. For example, if I took part in dry January",,
3/3/2020 13:52,3/3/2020 14:12,IP Address,139.184.128.132,100,1201,TRUE,3/3/2020 14:12,R_1GVmyO0Nby7PnNF,,,,,50.83450317,-0.186004639,anonymous,EN,2037,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,20,9,5,1-2 times per week,1-2 times per week,3-4 times per week,1-2 times per week,No,,worse than a regular beer,,,to feel like I am fitting in with others that are drinking alcoholic beer ,,
3/3/2020 14:44,3/3/2020 14:54,IP Address,139.184.128.82,100,577,TRUE,3/3/2020 14:54,R_3HNWwIyp5wBDE0m,,,,,50.86120605,-0.119400024,anonymous,EN,2038,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,21,7.5,2.3,3-4 times per week,1-2 times per week,2-3 times per month,2-3 times per month,Yes,about the same,,NEVER,NEVER,if i was taking any sort of medication or whilst i was breast feeding ,tasted sweeter,not much gas on it. a bit flat 
3/4/2020 13:55,3/4/2020 14:05,IP Address,139.184.128.82,100,632,TRUE,3/4/2020 14:05,R_8qfkMQcwOnteCAx,,,,,50.86120605,-0.119400024,anonymous,EN,4039,Yes,No,No,Yes,No,No,No,No,4-Mar,Yes,,,,,,,,,,,,,,,,,,,,female,19,7.9,6.9,5-6 times per week,3-4 times per week,1-2 times per week,2-3 times per month,Yes,worse than regular beer,,NEVER,NEVER,I WOULD DRINK NON ALCOHOLIC BEER IN CASE THERE WAS ANYTHING ELSE AVAILABLE,IT WAS QUITE SIMILAR TO REGULAR BEER AND HAD LESS GAS,IT WAS NOT QUITE THE SAME TASTE AS REGULAR BEER
3/4/2020 14:01,3/4/2020 14:29,IP Address,139.184.128.132,100,1689,TRUE,3/4/2020 14:29,R_2UgQIsdz4yx0wJX,,,,,50.86120605,-0.119400024,anonymous,EN,4040,Yes,No,No,Yes,No,No,No,No,3-Feb,Yes,,,,,,,,,,,,,,,,,,,,female,18,10,4,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per week,I don't remember,,about the same,,,I WOULD DRINK A NON-ALCOHOLIC BEER IF I NEEDED TO DRIVE ,,
3/4/2020 14:36,3/4/2020 14:42,IP Address,139.184.128.82,100,361,TRUE,3/4/2020 14:42,R_2P7J1ShPII9yO6s,,,,,50.84289551,-0.11579895,anonymous,EN,3041,Yes,No,No,Yes,No,No,No,No,4-Mar,Yes,,,,,,,,,,,,,,,,,,,,male,18,10,4,3-4 times per week,1-2 times per week,1 time per month or less,1-2 times per week,Yes,worse than regular beer,,NEVER,NEVER,To try a friends?,Nothing,The aftertaste
3/4/2020 14:53,3/4/2020 14:59,IP Address,139.184.241.11,100,328,TRUE,3/4/2020 14:59,R_3iUAzHc7rE6hMHP,,,,,50.84289551,-0.11579895,anonymous,EN,6042,Yes,No,No,Yes,No,No,No,No,none,Yes,,,,,,,,,,,,,,,,,,,,female,21,8,6,1-2 times per week,2-3 times per month,2-3 times per month,1 time per month or less,Yes,about the same,,1 time per month or less,1 time per month or less,when I do not want to consumer regular alcohol for example because I have to get up early the next day ,the taste,I did like it 
